"TIME","GEO","WASTE","STK_FLOW","WST_OPER","UNIT","Value"
"2012","Italy","Plastic packaging","Domestic","Waste generated","Tonne","2 052 000"
"2012","Italy","Plastic packaging","Domestic","Recovery","Tonne","1 473 745"
"2012","Cyprus","Plastic packaging","Domestic","Waste generated","Tonne","15 221"
"2012","Cyprus","Plastic packaging","Domestic","Recovery","Tonne","6 826"
"2012","Latvia","Plastic packaging","Domestic","Waste generated","Tonne","36 985"
"2012","Latvia","Plastic packaging","Domestic","Recovery","Tonne","14 310"
"2012","Lithuania","Plastic packaging","Domestic","Waste generated","Tonne","59 698"
"2012","Lithuania","Plastic packaging","Domestic","Recovery","Tonne","23 213"
"2012","Luxembourg","Plastic packaging","Domestic","Waste generated","Tonne","24 282"
"2012","Luxembourg","Plastic packaging","Domestic","Recovery","Tonne","21 337"
"2012","Hungary","Plastic packaging","Domestic","Waste generated","Tonne","256 912"
"2012","Hungary","Plastic packaging","Domestic","Recovery","Tonne","141 432"
"2012","Malta","Plastic packaging","Domestic","Waste generated","Tonne","10 846"
"2012","Malta","Plastic packaging","Domestic","Recovery","Tonne","3 607"
"2012","Netherlands","Plastic packaging","Domestic","Waste generated","Tonne","459 000"
